"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Emp1"	7.21051153813903e-237	0.505400600830877	0.904	0.675	1.44210230762781e-233	"0"	"Emp1"
"Cdkn1c"	1.72813654707849e-231	0.981978207275476	0.805	0.502	3.45627309415698e-228	"0"	"Cdkn1c"
"Aldh1a2"	9.14353431227742e-226	0.753730830511073	0.665	0.549	1.82870686245548e-222	"0"	"Aldh1a2"
"Ret"	2.08796780565135e-209	0.54082723285831	0.669	0.548	4.17593561130271e-206	"0"	"Ret"
"Tgfbi"	3.17540459808073e-208	0.533216230215158	0.814	0.648	6.35080919616146e-205	"0"	"Tgfbi"
"Spon1"	2.10172088535222e-204	0.596851070083658	0.635	0.467	4.20344177070445e-201	"0"	"Spon1"
"Crlf1"	1.59514317745604e-200	0.865676650928705	0.61	0.375	3.19028635491208e-197	"0"	"Crlf1"
"Mfap2"	2.81424170150242e-197	0.501060472484601	0.649	0.439	5.62848340300484e-194	"0"	"Mfap2"
"Dnajb1"	8.18197501945934e-185	0.819977962714571	0.791	0.601	1.63639500389187e-181	"0"	"Dnajb1"
"Sult5a1"	8.885485934084e-184	0.525376543131656	0.709	0.553	1.7770971868168e-180	"0"	"Sult5a1"
"Hsp90aa1"	1.66569805068739e-183	0.94059758747171	0.944	0.826	3.33139610137478e-180	"0"	"Hsp90aa1"
"AI607873"	1.94554075503145e-177	0.53819948646192	0.778	0.658	3.89108151006289e-174	"0"	"AI607873"
"Hsph1"	2.7893096901531e-173	0.7735403331167	0.853	0.737	5.57861938030619e-170	"0"	"Hsph1"
"Cyr61"	1.79490425261511e-171	0.76051826062657	0.798	0.56	3.58980850523022e-168	"0"	"Cyr61"
"Phlda1"	8.96313054476487e-167	0.630234331359242	0.843	0.727	1.79262610895297e-163	"0"	"Phlda1"
"Ier2"	1.04750659010117e-164	0.749251648047736	0.9	0.696	2.09501318020233e-161	"0"	"Ier2"
"Ces1d"	2.34444522427604e-132	0.568325551597936	0.513	0.335	4.68889044855208e-129	"0"	"Ces1d"
"Cpxm1"	3.01330722576791e-105	0.588905313039853	0.628	0.585	6.02661445153581e-102	"0"	"Cpxm1"
"Bag3"	1.93977167445285e-101	0.649517856959456	0.782	0.732	3.8795433489057e-98	"0"	"Bag3"
"Zfp36"	9.77364798092448e-84	0.52323811878174	0.838	0.745	1.9547295961849e-80	"0"	"Zfp36"
"Thbs1"	2.77347910471011e-53	0.591012397972719	0.587	0.565	5.54695820942023e-50	"0"	"Thbs1"
"Ccl2"	1.11271784203513e-40	0.651457162133042	0.297	0.485	2.22543568407027e-37	"0"	"Ccl2"
"Apoe"	1.11826332472392e-31	0.614569288683134	0.482	0.422	2.23652664944784e-28	"0"	"Apoe"
"Pi16.1"	0	2.64137096421149	0.913	0.248	0	"1"	"Pi16"
"Ugdh.1"	0	2.18589744943882	0.974	0.464	0	"1"	"Ugdh"
"Fn1.1"	0	2.11782873765336	0.996	0.618	0	"1"	"Fn1"
"Igfbp5.1"	0	1.99487107865817	0.868	0.628	0	"1"	"Igfbp5"
"Fbn1"	0	1.9856570134004	0.997	0.76	0	"1"	"Fbn1"
"Has1.1"	0	1.95644050020854	0.802	0.516	0	"1"	"Has1"
"Efemp1.1"	0	1.93133985404508	0.971	0.31	0	"1"	"Efemp1"
"Cd55.1"	0	1.91559548783627	0.971	0.627	0	"1"	"Cd55"
"Pcolce2.1"	0	1.85502721593102	0.982	0.355	0	"1"	"Pcolce2"
"Igfbp6"	0	1.80427138759143	0.998	0.7	0	"1"	"Igfbp6"
