"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Igkc" 0 2.56200011379824 0.97 0.214 0 "0" "Igkc"
"Cd74" 0 2.41171251447933 0.998 0.227 0 "0" "Cd74"
"H2-Ab1" 0 2.08542928798749 0.994 0.293 0 "0" "H2-Ab1"
"H2-Aa" 0 2.06619029412077 0.992 0.255 0 "0" "H2-Aa"
"Cd79a" 0 2.03549731354557 0.91 0.095 0 "0" "Cd79a"
"H2-Eb1" 0 2.01544490700725 0.985 0.191 0 "0" "H2-Eb1"
"H2-DMb2" 0 1.86829515410259 0.803 0.093 0 "0" "H2-DMb2"
"Cd79b" 0 1.77857643198394 0.732 0.094 0 "0" "Cd79b"
"Ighm" 0 1.66656196220309 0.86 0.209 0 "0" "Ighm"
"Ighd" 0 1.61417471396268 0.634 0.069 0 "0" "Ighd"
"Iglc2" 0 1.61324963764509 0.654 0.1 0 "0" "Iglc2"
"Ly6d" 0 1.58980841788481 0.646 0.089 0 "0" "Ly6d"
"Mef2c" 0 1.49351797176191 0.721 0.219 0 "0" "Mef2c"
"H2-Ob" 0 1.40330935884861 0.573 0.074 0 "0" "H2-Ob"
"Fcmr" 0 1.38440929998643 0.476 0.048 0 "0" "Fcmr"
"H2-DMa" 0 1.36268248064953 0.62 0.105 0 "0" "H2-DMa"
"Cd83" 0 1.3314127473377 0.597 0.12 0 "0" "Cd83"
"Iglc3" 0 1.3234300694427 0.455 0.066 0 "0" "Iglc3"
"Scd1" 0 1.32042327694074 0.562 0.118 0 "0" "Scd1"
"Laptm5" 0 1.31302223020195 0.703 0.197 0 "0" "Laptm5"
"Ccr7" 0 1.2830497191155 0.647 0.151 0 "0" "Ccr7"
"Ms4a1" 0 1.27790162147303 0.489 0.062 0 "0" "Ms4a1"
"Fam107b" 0 1.24693744036365 0.657 0.189 0 "0" "Fam107b"
"Plac8" 0 1.24004360441104 0.467 0.105 0 "0" "Plac8"
"Cd52" 0 1.22752513670127 0.879 0.278 0 "0" "Cd52"
"Fcrla" 0 1.22111984868125 0.399 0.037 0 "0" "Fcrla"
"Ly6e" 0 1.21787934823113 0.963 0.591 0 "0" "Ly6e"
"Hvcn1" 0 1.20176451378106 0.415 0.055 0 "0" "Hvcn1"
"Napsa" 0 1.17101559273792 0.451 0.061 0 "0" "Napsa"
"Cd37" 0 1.16776136637723 0.576 0.137 0 "0" "Cd37"
"Serp1" 0 1.15174138837288 0.813 0.431 0 "0" "Serp1"
"Bank1" 0 1.1477654113856 0.423 0.05 0 "0" "Bank1"
"Stk17b" 0 1.13035186159015 0.671 0.225 0 "0" "Stk17b"
"Ebf1" 0 1.11686413558639 0.874 0.417 0 "0" "Ebf1"
"H2-Oa" 0 1.10283824525587 0.392 0.05 0 "0" "H2-Oa"
"Ppp1r16b" 0 1.09333400105115 0.444 0.117 0 "0" "Ppp1r16b"
"Mzb1" 0 1.09202741738434 0.37 0.04 0 "0" "Mzb1"
"Cytip" 0 1.08742255745483 0.571 0.157 0 "0" "Cytip"
"Ezr" 0 1.08015066586041 0.498 0.158 0 "0" "Ezr"
"Ptprcap" 0 1.08006173414008 0.552 0.145 0 "0" "Ptprcap"
"Satb1" 0 1.05355309885258 0.546 0.147 0 "0" "Satb1"
"Gpr171" 0 1.01122136532062 0.354 0.064 0 "0" "Gpr171"
"Cd72" 0 1.0053835266978 0.372 0.063 0 "0" "Cd72"
"Stap1" 0 0.997982358155779 0.348 0.064 0 "0" "Stap1"
"Shisa5" 0 0.977076742191558 0.828 0.459 0 "0" "Shisa5"
"P2ry10" 0 0.9613910231931 0.34 0.062 0 "0" "P2ry10"
"Pou2af1" 0 0.953826943299412 0.28 0.025 0 "0" "Pou2af1"
"Syk" 0 0.932069194400534 0.311 0.05 0 "0" "Syk"
"Limd2" 0 0.928688120616027 0.585 0.205 0 "0" "Limd2"
"Rps27rt" 0 0.844207425014522 1 0.91 0 "0" "Rps27rt"
"H3f3a" 0 0.832837875381929 0.977 0.853 0 "0" "H3f3a"
"Cd19" 0 0.820281362487657 0.277 0.034 0 "0" "Cd19"
"Rps27" 0 0.815122595269655 1 0.981 0 "0" "Rps27"
"Ctss" 0 0.795182821934229 0.507 0.145 0 "0" "Ctss"
"Fau" 0 0.778932574788388 1 0.943 0 "0" "Fau"
"Btg1" 0 0.774359620383408 0.982 0.854 0 "0" "Btg1"
"Gm9843" 0 0.754205752348384 0.996 0.875 0 "0" "Gm9843"
"Rpl13a" 0 0.665414623053952 1 0.95 0 "0" "Rpl13a"
"Rps24" 0 0.643780725426666 0.998 0.909 0 "0" "Rps24"
"Rpl18a" 0 0.638988965866256 1 0.971 0 "0" "Rpl18a"
"Rps15a" 0 0.63109606589954 0.999 0.901 0 "0" "Rps15a"
"Rpl12" 0 0.625155295137312 0.96 0.737 0 "0" "Rpl12"
"Rps19" 0 0.623501717017469 1 0.966 0 "0" "Rps19"
"Rps20" 0 0.606114019122167 0.985 0.877 0 "0" "Rps20"
"Rps13" 0 0.595598886610522 0.993 0.881 0 "0" "Rps13"
"Rps15" 0 0.573037029808064 0.996 0.908 0 "0" "Rps15"
"Rps7" 0 0.561703079580921 0.997 0.907 0 "0" "Rps7"
"Rpl21" 0 0.557249874631249 1 0.924 0 "0" "Rpl21"
"Rpl39" 0 0.548958866837414 0.992 0.886 0 "0" "Rpl39"
"Rps29" 0 0.54489518929187 0.999 0.966 0 "0" "Rps29"
"Rpl17" 0 0.54179604024162 0.997 0.93 0 "0" "Rpl17"
"Rps9" 0 0.526020601415659 0.995 0.904 0 "0" "Rps9"
"Rpl32" 0 0.514620546456524 0.999 0.941 0 "0" "Rpl32"
"Rps16" 0 0.51410618149152 0.999 0.937 0 "0" "Rps16"
"Rpl37a" 0 0.510268725222344 0.999 0.963 0 "0" "Rpl37a"
"Rpl8" 0 0.50872708429446 0.997 0.934 0 "0" "Rpl8"
"Rpl13" 0 0.496552597809695 1 0.974 0 "0" "Rpl13"
"Rps18" 0 0.482568237380211 0.998 0.937 0 "0" "Rps18"
"Gm9493" 9.97819811348914e-308 0.564078612018629 0.976 0.83 1.48405740541924e-303 "0" "Gm9493"
