"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Pi16" 0 2.67886980455901 0.953 0.243 0 "0" "Pi16"
"Ugdh" 0 2.15878381096691 0.988 0.384 0 "0" "Ugdh"
"Igfbp5" 0 2.11858011460049 0.874 0.299 0 "0" "Igfbp5"
"Has1" 0 1.9922919141283 0.802 0.149 0 "0" "Has1"
"Anxa3" 0 1.86584234806472 0.989 0.336 0 "0" "Anxa3"
"Fn1" 0 1.84968958491168 0.999 0.353 0 "0" "Fn1"
"Efemp1" 0 1.81998361103383 0.988 0.285 0 "0" "Efemp1"
"Cd55" 0 1.81864894738651 0.984 0.352 0 "0" "Cd55"
"Fbn1" 0 1.75876631765757 0.998 0.575 0 "0" "Fbn1"
"Sema3c" 0 1.74332922490213 0.958 0.161 0 "0" "Sema3c"
"Sbsn" 0 1.66447830217265 0.482 0.047 0 "0" "Sbsn"
"Procr" 0 1.64236333089897 0.901 0.216 0 "0" "Procr"
"Gfpt2" 0 1.61997056997355 0.984 0.336 0 "0" "Gfpt2"
"Pcolce2" 0 1.60585636044416 0.992 0.314 0 "0" "Pcolce2"
"Igfbp6" 0 1.5435504052001 1 0.611 0 "0" "Igfbp6"
"Uap1" 0 1.5358034093991 0.98 0.546 0 "0" "Uap1"
"Mfap5" 0 1.50972096658284 0.998 0.588 0 "0" "Mfap5"
"Ly6c1" 0 1.47130168698589 0.997 0.383 0 "0" "Ly6c1"
"Col14a1" 0 1.44961161420974 0.97 0.261 0 "0" "Col14a1"
"Cd248" 0 1.43870757314938 0.981 0.283 0 "0" "Cd248"
"Ackr3" 0 1.41726645296568 0.988 0.347 0 "0" "Ackr3"
"Pcsk6" 0 1.39263306108834 0.974 0.37 0 "0" "Pcsk6"
"Efhd1" 0 1.38060933426043 0.94 0.129 0 "0" "Efhd1"
"Tmem100" 0 1.37384628648845 0.911 0.199 0 "0" "Tmem100"
"Anxa1" 0 1.36337050008896 0.995 0.591 0 "0" "Anxa1"
"Dpp4" 0 1.36312168995152 0.955 0.147 0 "0" "Dpp4"
"C3" 0 1.33826274940872 0.928 0.329 0 "0" "C3"
"Ly6a" 0 1.2919897494142 0.997 0.537 0 "0" "Ly6a"
"Fstl1" 0 1.2759855605829 1 0.61 0 "0" "Fstl1"
"Pla1a" 0 1.267499540804 0.963 0.344 0 "0" "Pla1a"
"Timp2" 0 1.19813957408354 1 0.674 0 "0" "Timp2"
"Ecm1" 0 1.1851495334765 0.986 0.493 0 "0" "Ecm1"
"Stmn4" 0 1.14984987614708 0.836 0.064 0 "0" "Stmn4"
"Adgrd1" 0 1.1267170282697 0.938 0.265 0 "0" "Adgrd1"
"Cd34" 0 1.10858189531877 1 0.589 0 "0" "Cd34"
"Axl" 0 1.10483744265558 0.991 0.512 0 "0" "Axl"
"Creb5" 0 1.08616242815214 0.946 0.36 0 "0" "Creb5"
"Scara5" 0 1.06523329192324 0.965 0.411 0 "0" "Scara5"
"Emilin2" 0 1.05795990682325 0.937 0.329 0 "0" "Emilin2"
"Hn1" 0 1.04470813490459 0.962 0.454 0 "0" "Hn1"
"Gas7" 0 1.03970737047847 0.858 0.251 0 "0" "Gas7"
"Fndc1" 0 1.03914581920614 0.987 0.515 0 "0" "Fndc1"
"Cadm3" 0 1.00325851469561 0.87 0.175 0 "0" "Cadm3"
"Nov" 0 1.00268934714626 0.862 0.244 0 "0" "Nov"
"Lrrn4cl" 0 0.973688192689081 0.985 0.489 0 "0" "Lrrn4cl"
"Ifi27l2a" 0 0.970217066493959 0.782 0.177 0 "0" "Ifi27l2a"
"Metrnl" 0 0.950792612009866 0.916 0.338 0 "0" "Metrnl"
"Cmah" 0 0.926374709931756 0.695 0.024 0 "0" "Cmah"
"Dbn1" 0 0.909181811205097 0.859 0.236 0 "0" "Dbn1"
"Qpct" 0 0.902133171010724 0.933 0.364 0 "0" "Qpct"
"Zfp385a" 0 0.897219434916901 0.875 0.295 0 "0" "Zfp385a"
"Heg1" 0 0.886620110098969 0.874 0.301 0 "0" "Heg1"
"Car8" 0 0.857321708045979 0.641 0.021 0 "0" "Car8"
"Vasn" 0 0.854328593363513 0.841 0.241 0 "0" "Vasn"
"Limch1" 0 0.829065817185134 0.761 0.081 0 "0" "Limch1"
"Aldh1a3" 0 0.803072026555707 0.487 0.034 0 "0" "Aldh1a3"
"1700019D03Rik" 0 0.798332835141042 0.752 0.104 0 "0" "1700019D03Rik"
"Il18" 0 0.771263742539357 0.7 0.061 0 "0" "Il18"
"Tmem158" 0 0.767210173061646 0.664 0.124 0 "0" "Tmem158"
"Slco3a1" 0 0.766041974680111 0.831 0.258 0 "0" "Slco3a1"
"Lurap1l" 0 0.753629815913361 0.668 0.088 0 "0" "Lurap1l"
"Nhsl1" 0 0.733486233572612 0.701 0.108 0 "0" "Nhsl1"
"Rhou" 0 0.708303237929588 0.64 0.098 0 "0" "Rhou"
"Pde8a" 0 0.701894381141854 0.773 0.171 0 "0" "Pde8a"
"Rorb" 0 0.679857681907107 0.532 0.028 0 "0" "Rorb"
"Pamr1" 0 0.67309686482694 0.712 0.095 0 "0" "Pamr1"
"Fez1" 0 0.668711450363629 0.7 0.151 0 "0" "Fez1"
