"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Cd74"	0	3.05988869705699	0.995	0.374	0	"0"	"Cd74"
"Cd79a"	0	2.7037614821731	0.931	0.355	0	"0"	"Cd79a"
"H2-Aa"	0	2.67345535894498	0.989	0.513	0	"0"	"H2-Aa"
"H2-Ab1"	0	2.62444591601684	0.993	0.522	0	"0"	"H2-Ab1"
"H2-Eb1"	0	2.48023307228158	0.981	0.431	0	"0"	"H2-Eb1"
"Ly6d"	0	2.37510858140755	0.74	0.4	0	"0"	"Ly6d"
"H2-DMb2"	0	2.29818904002248	0.839	0.359	0	"0"	"H2-DMb2"
"Cd79b"	0	2.26743775144206	0.799	0.411	0	"0"	"Cd79b"
"Ms4a1"	0	1.88196930709877	0.633	0.3	0	"0"	"Ms4a1"
"Cd83"	0	1.78239012471386	0.643	0.384	0	"0"	"Cd83"
"Mef2c"	0	1.72446491377988	0.781	0.408	0	"0"	"Mef2c"
"H2-Ob"	0	1.7070865265757	0.658	0.347	0	"0"	"H2-Ob"
"H2-DMa"	0	1.65484247196813	0.7	0.387	0	"0"	"H2-DMa"
"Fcmr"	0	1.64056972122711	0.58	0.246	0	"0"	"Fcmr"
"Ccr7"	0	1.62541855385053	0.682	0.434	0	"0"	"Ccr7"
"Cd37"	0	1.59254061636043	0.684	0.361	0	"0"	"Cd37"
"Cd52"	0	1.52907072688666	0.885	0.519	0	"0"	"Cd52"
"Scd1"	0	1.4634069987144	0.616	0.413	0	"0"	"Scd1"
"Laptm5"	0	1.37719948783355	0.696	0.42	0	"0"	"Laptm5"
"Hvcn1"	0	1.34897216282991	0.535	0.275	0	"0"	"Hvcn1"
"Napsa"	0	1.34365306710487	0.539	0.307	0	"0"	"Napsa"
"Rel"	0	1.30920312895804	0.597	0.417	0	"0"	"Rel"
"Mzb1"	0	1.2874688691847	0.502	0.253	0	"0"	"Mzb1"
"Fam107b"	0	1.27674240963614	0.649	0.458	0	"0"	"Fam107b"
"H2-Oa"	0	1.24730068019857	0.495	0.278	0	"0"	"H2-Oa"
"Ltb"	0	1.2323078842385	0.609	0.438	0	"0"	"Ltb"
"Coro1a"	0	1.20432054409681	0.754	0.49	0	"0"	"Coro1a"
"Fcer2a"	0	1.18062420361897	0.457	0.202	0	"0"	"Fcer2a"
"Stap1"	0	1.16149198581142	0.485	0.265	0	"0"	"Stap1"
"Hmgb2"	0	1.08084611309248	0.636	0.4	0	"0"	"Hmgb2"
"Cd53"	0	0.878718361693387	0.662	0.475	0	"0"	"Cd53"
"Gm43291"	0	0.756571730832155	0.323	0.047	0	"0"	"Gm43291"
"Ptprcap"	6.85311935662533e-287	1.26102139289948	0.577	0.378	1.37062387132507e-283	"0"	"Ptprcap"
"Dusp2"	9.96421699703398e-287	1.33355905652647	0.561	0.397	1.9928433994068e-283	"0"	"Dusp2"
"Unc93b1"	6.65669209811191e-275	0.890340578697177	0.483	0.32	1.33133841962238e-271	"0"	"Unc93b1"
"Rhoh"	1.79612898718651e-269	1.11001769635557	0.529	0.357	3.59225797437302e-266	"0"	"Rhoh"
"Rac2"	1.47884978206609e-266	0.92029896355071	0.621	0.44	2.95769956413218e-263	"0"	"Rac2"
"Fcrla"	1.21336171141506e-264	1.31683041901689	0.492	0.322	2.42672342283011e-261	"0"	"Fcrla"
"Vpreb3"	8.58778666043803e-264	0.878429298570202	0.33	0.116	1.71755733208761e-260	"0"	"Vpreb3"
"Satb1"	1.12275132786942e-259	1.12556717320343	0.559	0.398	2.24550265573884e-256	"0"	"Satb1"
"Cd24a"	6.43033042180838e-248	1.05822895297348	0.491	0.33	1.28606608436168e-244	"0"	"Cd24a"
"Cd72"	2.89437766457487e-243	1.2496634765927	0.498	0.347	5.78875532914973e-240	"0"	"Cd72"
"Ctss"	1.30888793315743e-234	0.982404877002562	0.572	0.428	2.61777586631487e-231	"0"	"Ctss"
"Gm43603"	4.56559845485669e-216	1.13102467854661	0.394	0.194	9.13119690971339e-213	"0"	"Gm43603"
"Gm8369"	3.87150250429726e-206	1.18478942402418	0.539	0.425	7.74300500859453e-203	"0"	"Gm8369"
"Cytip"	1.18048377704734e-202	1.1257193644766	0.569	0.462	2.36096755409469e-199	"0"	"Cytip"
"Blnk"	2.25585885932592e-202	0.830921414640663	0.401	0.267	4.51171771865185e-199	"0"	"Blnk"
"Ptpn18"	9.81022646830736e-193	0.736941839539732	0.55	0.427	1.96204529366147e-189	"0"	"Ptpn18"
"Cr2"	3.39022947560738e-189	0.583343748814664	0.304	0.146	6.78045895121476e-186	"0"	"Cr2"
"Vps37b"	2.50683646216881e-186	0.972232583553415	0.535	0.426	5.01367292433761e-183	"0"	"Vps37b"
"Ly86"	3.80904494778374e-181	0.857422971805768	0.367	0.184	7.61808989556747e-178	"0"	"Ly86"
"Tnfrsf13c"	4.60867989651352e-181	1.10043629622194	0.411	0.244	9.21735979302704e-178	"0"	"Tnfrsf13c"
"Ms4a4c"	4.18398170521652e-176	1.02361984937881	0.429	0.305	8.36796341043304e-173	"0"	"Ms4a4c"
"Cd86"	6.55795765726871e-161	0.916642098852414	0.326	0.184	1.31159153145374e-157	"0"	"Cd86"
"Ppp1r16b"	5.85174728088467e-158	1.03936808230758	0.447	0.308	1.17034945617693e-154	"0"	"Ppp1r16b"
"Lcp1"	1.77692457048963e-156	0.91398820196626	0.524	0.441	3.55384914097926e-153	"0"	"Lcp1"
"Cnp"	2.88315974362373e-155	0.760894845514711	0.371	0.256	5.76631948724746e-152	"0"	"Cnp"
"Clec2i"	4.98249390290535e-145	0.688432385359091	0.309	0.154	9.9649878058107e-142	"0"	"Clec2i"
"Plac8"	4.15979137750371e-141	1.31002561440903	0.494	0.412	8.31958275500743e-138	"0"	"Plac8"
"Ptpn6"	9.78563937191492e-133	0.771290133687701	0.384	0.273	1.95712787438298e-129	"0"	"Ptpn6"
"Ctsh"	4.23184491122748e-116	0.795873109891223	0.488	0.414	8.46368982245496e-113	"0"	"Ctsh"
"Arl5c"	6.46801469129769e-115	0.782497220844338	0.372	0.292	1.29360293825954e-111	"0"	"Arl5c"
"Ptprc"	3.83834332852592e-114	0.779480952796053	0.52	0.455	7.67668665705183e-111	"0"	"Ptprc"
"Siglecg"	9.76330387450099e-113	0.938157881267003	0.384	0.264	1.9526607749002e-109	"0"	"Siglecg"
