"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Mmp14"	0	-0.502840765483979	0.011	0.415	0	"0"	"Mmp14"
"Emb"	0	-0.571465128712248	0.049	0.412	0	"0"	"Emb"
"Map1b"	0	-0.686876728640474	0.013	0.44	0	"0"	"Map1b"
"Fosl1"	0	-0.688592736893204	0.074	0.458	0	"0"	"Fosl1"
"Adamts9"	0	-0.746426716296125	0.036	0.466	0	"0"	"Adamts9"
"Jun"	0	-0.776708411754661	0.405	0.786	0	"0"	"Jun"
"Lhfp"	0	-0.78115523718178	0.101	0.472	0	"0"	"Lhfp"
"Rcan1"	0	-0.792000610848461	0.068	0.459	0	"0"	"Rcan1"
"Socs2"	0	-0.854314253800902	0.089	0.494	0	"0"	"Socs2"
"Metrnl"	0	-0.857142763926638	0.067	0.478	0	"0"	"Metrnl"
"Srxn1"	0	-0.861685072558609	0.06	0.496	0	"0"	"Srxn1"
"Adgrl4"	0	-0.875099619258749	0.014	0.422	0	"0"	"Adgrl4"
"Prnp"	0	-0.918792066415875	0.094	0.508	0	"0"	"Prnp"
"S100a11"	0	-0.934885046513888	0.359	0.751	0	"0"	"S100a11"
"Abi3bp"	0	-0.963201535509389	0.094	0.481	0	"0"	"Abi3bp"
"Socs3"	0	-0.974667040483958	0.255	0.688	0	"0"	"Socs3"
"Ndrg1"	0	-0.981579230591838	0.062	0.5	0	"0"	"Ndrg1"
"Fgfr1"	0	-0.986860078290828	0.094	0.506	0	"0"	"Fgfr1"
"Noct"	0	-0.991788152734448	0.152	0.537	0	"0"	"Noct"
"Prelp"	0	-0.9960717579655	0.04	0.442	0	"0"	"Prelp"
"Nid1"	0	-1.00615711502432	0.113	0.498	0	"0"	"Nid1"
"Aebp1"	0	-1.01462891725974	0.027	0.432	0	"0"	"Aebp1"
"Hspa5"	0	-1.01784264230487	0.575	0.86	0	"0"	"Hspa5"
"Ctgf"	0	-1.02057209904722	0.067	0.438	0	"0"	"Ctgf"
"Selp"	0	-1.02311462687752	0.079	0.425	0	"0"	"Selp"
"Thbd"	0	-1.06045243922855	0.038	0.465	0	"0"	"Thbd"
"Gfpt2"	0	-1.06380132391059	0.069	0.456	0	"0"	"Gfpt2"
"Tubb6"	0	-1.08258507955395	0.095	0.525	0	"0"	"Tubb6"
"Rasip1"	0	-1.0910820631736	0.076	0.501	0	"0"	"Rasip1"
"S100a16"	0	-1.09360870894294	0.04	0.508	0	"0"	"S100a16"
