"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Apoe"	0	1.86553110080148	1	0.802	0	"0"	"Apoe"
"Sepp1"	0	1.54134623728237	0.997	0.777	0	"0"	"Sepp1"
"Ms4a7"	0	1.41854345705138	0.996	0.464	0	"0"	"Ms4a7"
"C1qb"	0	1.36129401547437	0.99	0.516	0	"0"	"C1qb"
"C1qa"	0	1.35594703940028	0.968	0.459	0	"0"	"C1qa"
"C1qc"	0	1.30157668331315	0.982	0.458	0	"0"	"C1qc"
"Ctss"	0	1.298260216166	1	0.66	0	"0"	"Ctss"
"Lyz2"	0	1.27663952653991	1	0.714	0	"0"	"Lyz2"
"Pltp"	0	1.22141680735384	0.95	0.406	0	"0"	"Pltp"
"Ctsb"	0	1.12994064125156	1	0.946	0	"0"	"Ctsb"
"Trem2"	0	1.09577970090888	0.965	0.425	0	"0"	"Trem2"
"Aif1"	0	1.0648197557622	0.978	0.472	0	"0"	"Aif1"
"Ms4a6b"	0	1.05132607904183	0.957	0.454	0	"0"	"Ms4a6b"
"Wfdc17"	0	1.04664209555142	0.939	0.541	0	"0"	"Wfdc17"
"Psap"	0	0.995265958782462	1	0.947	0	"0"	"Psap"
"Itm2b"	0	0.94873819868764	1	0.98	0	"0"	"Itm2b"
"Csf1r"	0	0.937886582083065	0.974	0.488	0	"0"	"Csf1r"
"Gdf15"	0	0.928683050355414	0.457	0.135	0	"0"	"Gdf15"
"Gpnmb"	0	0.92636009966763	0.76	0.319	0	"0"	"Gpnmb"
"Hexa"	0	0.924415196917242	0.986	0.766	0	"0"	"Hexa"
"Mafb"	0	0.921594156422381	0.924	0.646	0	"0"	"Mafb"
"Rgs10"	0	0.914309709299842	0.976	0.609	0	"0"	"Rgs10"
"Rsad2"	0	0.910643823544616	0.402	0.125	0	"0"	"Rsad2"
"Fcgr3"	0	0.896446477689105	0.961	0.486	0	"0"	"Fcgr3"
"Mpeg1"	0	0.893144773228653	0.984	0.575	0	"0"	"Mpeg1"
"Cybb"	0	0.882396532592479	0.983	0.522	0	"0"	"Cybb"
"Ms4a6c"	0	0.873652507760039	0.989	0.571	0	"0"	"Ms4a6c"
"Unc93b1"	0	0.873437315191822	0.976	0.572	0	"0"	"Unc93b1"
"Npc2"	0	0.871674134306571	1	0.933	0	"0"	"Npc2"
"Ctsd"	0	0.865179247077398	0.998	0.885	0	"0"	"Ctsd"
"Ifit3"	0	0.861724380914444	0.435	0.129	0	"0"	"Ifit3"
"Irf7"	0	0.854072376598727	0.695	0.306	0	"0"	"Irf7"
"Ly86"	0	0.842515118972385	0.932	0.393	0	"0"	"Ly86"
"Rgs2"	0	0.840744157664642	0.75	0.344	0	"0"	"Rgs2"
"Grn"	0	0.834817601388438	0.997	0.823	0	"0"	"Grn"
"Fcrls"	0	0.833431141364865	0.697	0.171	0	"0"	"Fcrls"
"Tmem86a"	0	0.830835031940958	0.758	0.213	0	"0"	"Tmem86a"
"Hexb"	0	0.816727208263633	0.938	0.638	0	"0"	"Hexb"
"Laptm5"	0	0.806317949330036	1	0.64	0	"0"	"Laptm5"
"Ctsh"	0	0.801434776073874	0.989	0.792	0	"0"	"Ctsh"
"AF251705"	0	0.797290988087549	0.927	0.47	0	"0"	"AF251705"
"Ly6e"	0	0.79479619610576	0.946	0.842	0	"0"	"Ly6e"
"Lst1"	0	0.790874070021221	0.939	0.497	0	"0"	"Lst1"
"Fcer1g"	0	0.785291707269997	1	0.664	0	"0"	"Fcer1g"
"Man2b1"	0	0.776483543619268	0.898	0.494	0	"0"	"Man2b1"
"Fcgr1"	0	0.77614608637905	0.855	0.384	0	"0"	"Fcgr1"
"Tyrobp"	0	0.770061039034385	1	0.668	0	"0"	"Tyrobp"
"Sat1"	0	0.769793576033836	0.99	0.824	0	"0"	"Sat1"
"Ifit2"	0	0.766666130886598	0.361	0.101	0	"0"	"Ifit2"
"Ctsc"	0	0.760593455094551	0.983	0.608	0	"0"	"Ctsc"
"Trf"	0	0.759500480095408	0.826	0.359	0	"0"	"Trf"
"Adgre1"	0	0.758467486682188	0.91	0.39	0	"0"	"Adgre1"
"Rgs1"	0	0.75562671323677	0.637	0.287	0	"0"	"Rgs1"
"Ptpn18"	0	0.751880868216092	0.95	0.51	0	"0"	"Ptpn18"
"Lgmn"	0	0.751133520030369	0.998	0.686	0	"0"	"Lgmn"
"Pld4"	0	0.746777238308327	0.895	0.398	0	"0"	"Pld4"
"Cxcl16"	0	0.745491527074538	0.919	0.527	0	"0"	"Cxcl16"
"Lgals3bp"	0	0.739603247966252	0.855	0.438	0	"0"	"Lgals3bp"
"Fcgr2b"	0	0.737700601311807	0.888	0.389	0	"0"	"Fcgr2b"
"Ctsa"	0	0.736719695020416	0.963	0.659	0	"0"	"Ctsa"
"Snx5"	0	0.729389024032355	0.942	0.596	0	"0"	"Snx5"
"Lamp1"	0	0.715653138617687	1	0.946	0	"0"	"Lamp1"
"Cx3cr1"	0	0.712280409586022	0.574	0.144	0	"0"	"Cx3cr1"
"Fyb"	0	0.706693560666373	0.941	0.505	0	"0"	"Fyb"
"Serinc3"	0	0.701305172185507	0.971	0.748	0	"0"	"Serinc3"
"Tnfaip8l2"	0	0.701303040883729	0.693	0.185	0	"0"	"Tnfaip8l2"
"B2m"	0	0.696127185119244	1	0.95	0	"0"	"B2m"
"C3ar1"	0	0.693018405722542	0.882	0.38	0	"0"	"C3ar1"
"Pla2g7"	0	0.69277911293571	0.824	0.356	0	"0"	"Pla2g7"
"Bst2"	0	0.692303548689832	0.937	0.711	0	"0"	"Bst2"
"Syngr1"	0	0.688208919876243	0.711	0.196	0	"0"	"Syngr1"
"Stat1"	0	0.68543947315391	0.635	0.282	0	"0"	"Stat1"
"Ftl1"	0	0.684544532149331	1	0.997	0	"0"	"Ftl1"
"Ms4a6d"	0	0.680093865165405	0.911	0.443	0	"0"	"Ms4a6d"
"Tmem37"	0	0.665105423576537	0.668	0.187	0	"0"	"Tmem37"
"Hacd4"	0	0.659321151609004	0.76	0.261	0	"0"	"Hacd4"
"Maf"	0	0.649575453069683	0.823	0.45	0	"0"	"Maf"
"Irf8"	0	0.643262996807291	0.825	0.293	0	"0"	"Irf8"
"Ehd4"	0	0.638693592418594	0.844	0.458	0	"0"	"Ehd4"
"Vsir"	0	0.636094819371946	0.816	0.365	0	"0"	"Vsir"
"Abca1"	0	0.635431346684528	0.816	0.409	0	"0"	"Abca1"
"Ucp2"	0	0.631124760910488	0.981	0.637	0	"0"	"Ucp2"
"Cd300a"	0	0.627952454130191	0.807	0.312	0	"0"	"Cd300a"
"Creg1"	0	0.621673903614959	0.871	0.601	0	"0"	"Creg1"
"Clec4a3"	0	0.612979717942123	0.775	0.27	0	"0"	"Clec4a3"
"Gngt2"	0	0.610850463163838	0.771	0.369	0	"0"	"Gngt2"
"H2-K1"	0	0.608696323484375	0.999	0.906	0	"0"	"H2-K1"
"Atp13a2"	0	0.597329474774242	0.702	0.228	0	"0"	"Atp13a2"
"Ms4a4c"	0	0.594727913963432	0.62	0.278	0	"0"	"Ms4a4c"
"Ifi27l2a"	0	0.594185702022618	0.875	0.693	0	"0"	"Ifi27l2a"
"Lpcat2"	0	0.590247919187288	0.657	0.2	0	"0"	"Lpcat2"
"Gpr65"	0	0.580362945484626	0.634	0.208	0	"0"	"Gpr65"
"Epsti1"	0	0.579300333908599	0.748	0.277	0	"0"	"Epsti1"
"Pld3"	0	0.576757421320193	0.735	0.373	0	"0"	"Pld3"
"Mndal"	0	0.576070843325301	0.775	0.509	0	"0"	"Mndal"
"Fam105a"	0	0.576011940690579	0.711	0.251	0	"0"	"Fam105a"
"Ptprc"	0	0.575717751222319	0.958	0.581	0	"0"	"Ptprc"
"Cyba"	0	0.575059354124283	0.999	0.879	0	"0"	"Cyba"
"Fcgr4"	0	0.573409119682297	0.589	0.173	0	"0"	"Fcgr4"
"Hpgds"	0	0.570326547343292	0.635	0.17	0	"0"	"Hpgds"
"Cd68"	0	0.566416833511048	0.966	0.575	0	"0"	"Cd68"
"Rasgef1b"	0	0.561257399989506	0.545	0.203	0	"0"	"Rasgef1b"
"Blvrb"	0	0.560405153801946	0.796	0.498	0	"0"	"Blvrb"
"H2-D1"	0	0.55965703976063	1	0.943	0	"0"	"H2-D1"
"AI607873"	0	0.555375603488631	0.896	0.661	0	"0"	"AI607873"
"P2rx4"	0	0.543198008098619	0.778	0.413	0	"0"	"P2rx4"
"Parp14"	0	0.539756758626819	0.597	0.275	0	"0"	"Parp14"
"Cd83"	0	0.536500448478808	0.733	0.435	0	"0"	"Cd83"
"Abcg1"	0	0.53179858877487	0.625	0.197	0	"0"	"Abcg1"
"Folr2"	0	0.530251136690082	0.497	0.144	0	"0"	"Folr2"
"AB124611"	0	0.527733006162855	0.649	0.215	0	"0"	"AB124611"
"Clec12a"	0	0.524165813060586	0.721	0.273	0	"0"	"Clec12a"
"Ncf2"	0	0.522653139371399	0.813	0.397	0	"0"	"Ncf2"
"Pyhin1"	0	0.522096743648232	0.518	0.184	0	"0"	"Pyhin1"
"Sirpa"	0	0.519757470534067	0.86	0.524	0	"0"	"Sirpa"
"Oasl2"	0	0.517530920782124	0.587	0.249	0	"0"	"Oasl2"
"Aldh2"	0	0.514701235146191	0.934	0.736	0	"0"	"Aldh2"
"Trim30a"	0	0.511819788385005	0.675	0.322	0	"0"	"Trim30a"
"Slamf7"	0	0.510570684285772	0.611	0.236	0	"0"	"Slamf7"
"Fam26f"	0	0.506794347548564	0.451	0.094	0	"0"	"Fam26f"
"Tmsb4x"	0	0.505857592903948	1	0.989	0	"0"	"Tmsb4x"
"Clta"	0	0.504913002680645	0.994	0.932	0	"0"	"Clta"
"Stab1"	0	0.504796224229379	0.686	0.256	0	"0"	"Stab1"
"Asah1"	0	0.495929515723989	0.881	0.622	0	"0"	"Asah1"
"Tgfb1"	0	0.49560157594293	0.863	0.557	0	"0"	"Tgfb1"
"Hmox2"	0	0.493391798339364	0.721	0.358	0	"0"	"Hmox2"
