"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Ifi205" 0 2.37140191396503 0.889 0.126 0 "0" "Ifi205"
"Tnfaip6" 0 2.2762867349581 0.907 0.265 0 "0" "Tnfaip6"
"Gsn" 0 2.13477795454128 0.999 0.81 0 "0" "Gsn"
"Ccl11" 0 2.01234473747647 0.8 0.142 0 "0" "Ccl11"
"Mnda" 0 1.92898489101244 0.889 0.127 0 "0" "Mnda"
"Has1" 0 1.88230601185429 0.771 0.137 0 "0" "Has1"
"Smoc2" 0 1.87242160127658 0.853 0.136 0 "0" "Smoc2"
"Mt1" 0 1.86350492693828 0.995 0.695 0 "0" "Mt1"
"Ugdh" 0 1.81814610390568 0.901 0.292 0 "0" "Ugdh"
"Fgl2" 0 1.79819004292991 0.839 0.209 0 "0" "Fgl2"
"Mt2" 0 1.78403964591139 0.988 0.581 0 "0" "Mt2"
"Gfpt2" 0 1.76593108171654 0.913 0.193 0 "0" "Gfpt2"
"Hk2" 0 1.7491421154659 0.859 0.159 0 "0" "Hk2"
"Lum" 0 1.71977418099585 0.878 0.142 0 "0" "Lum"
"Ifi204" 0 1.66506409715811 0.82 0.132 0 "0" "Ifi204"
"Myoc" 0 1.6502394458911 0.789 0.138 0 "0" "Myoc"
"AI607873" 0 1.57414439303021 0.84 0.109 0 "0" "AI607873"
"Dpt" 0 1.44658977644098 0.888 0.143 0 "0" "Dpt"
"Itm2a" 0 1.34523416668805 0.815 0.152 0 "0" "Itm2a"
"Serping1" 0 1.34446135000216 0.984 0.332 0 "0" "Serping1"
"Clec3b" 0 1.34024910815748 0.953 0.172 0 "0" "Clec3b"
"Dpep1" 0 1.27694080887756 0.767 0.099 0 "0" "Dpep1"
"C1s1" 0 1.26770076182697 0.864 0.14 0 "0" "C1s1"
"Col6a1" 0 1.24527302939014 0.882 0.2 0 "0" "Col6a1"
"Vasn" 0 1.20711521317684 0.782 0.143 0 "0" "Vasn"
"Mfap5" 0 1.08264570834613 0.905 0.207 0 "0" "Mfap5"
"Entpd2" 6.22846773962729e-290 1.04314229119082 0.673 0.094 9.75128909316048e-286 "0" "Entpd2"
"Rarres2" 1.55171614477102e-287 1.16104042206455 0.902 0.229 2.42936679625351e-283 "0" "Rarres2"
"Dcn" 5.724440861195e-286 1.41028262824346 0.999 0.59 8.96218461228689e-282 "0" "Dcn"
"Ms4a4d" 1.303660528443e-284 0.970830747313737 0.626 0.079 2.04101092333036e-280 "0" "Ms4a4d"
"Gpc3" 2.33686908880919e-281 1.24529529301629 0.64 0.088 3.65860224543968e-277 "0" "Gpc3"
"Col3a1" 7.14672827163174e-279 1.29494894512512 0.849 0.202 1.11889177820666e-274 "0" "Col3a1"
"Pcolce" 6.0699732354174e-275 1.22496981180744 0.919 0.27 9.50315009736949e-271 "0" "Pcolce"
"Ptgs2" 9.63783579198005e-271 1.68475240560553 0.587 0.076 1.5088995715924e-266 "0" "Ptgs2"
"Uap1" 1.12921645621577e-267 1.56166265211326 0.945 0.41 1.76790128385141e-263 "0" "Uap1"
"Rnase4" 5.60822508290492e-262 0.931987981619182 0.853 0.204 8.78023718979595e-258 "0" "Rnase4"
"Cxcl1" 2.63179873196681e-260 2.36408934509653 0.904 0.42 4.12034409476724e-256 "0" "Cxcl1"
"Fstl1" 1.64073939523837e-259 0.960042136800186 0.868 0.223 2.56874159718519e-255 "0" "Fstl1"
"Serpinf1" 1.58962250203771e-255 0.659723401194303 0.971 0.318 2.48871298919024e-251 "0" "Serpinf1"
"Col6a2" 3.22691129229252e-255 1.05703815379806 0.767 0.167 5.05205231921317e-251 "0" "Col6a2"
