"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Gpihbp1" 9.19616015205377e-237 1.4451077275137 0.986 0.374 1.5322642045352e-232 "0" "Gpihbp1"
"Aqp1" 3.52856587412267e-225 1.52714063038929 0.995 0.508 5.87929645946319e-221 "0" "Aqp1"
"Tspan13" 5.76983691111044e-225 1.32634205432189 0.986 0.37 9.61370226129222e-221 "0" "Tspan13"
"Egfl7" 2.25610123496215e-224 1.38327558829889 0.961 0.355 3.75911587769394e-220 "0" "Egfl7"
"C1qtnf9" 2.49479399431839e-215 1.33803845701567 0.919 0.304 4.1568257533333e-211 "0" "C1qtnf9"
"Fabp4" 3.05189118997187e-214 1.4275300619605 0.998 0.708 5.08506110073114e-210 "0" "Fabp4"
"Tmsb4x" 6.2451559816143e-212 1.10255862198592 1 0.954 1.04056788965658e-207 "0" "Tmsb4x"
"Cav1" 1.21667453835994e-210 1.28839463218966 0.997 0.525 2.02722311581534e-206 "0" "Cav1"
"Cd36" 4.80142589726886e-208 1.29517497535179 0.978 0.395 8.00013583002938e-204 "0" "Cd36"
"Cav2" 3.81042835668691e-205 1.30682695569184 0.949 0.38 6.34893572791172e-201 "0" "Cav2"
"Sdpr" 5.01755494641035e-204 1.25578191825188 0.98 0.368 8.36025005170893e-200 "0" "Sdpr"
"Esam" 8.66069966542444e-202 1.25621901277685 0.941 0.332 1.44304577825302e-197 "0" "Esam"
"Gng11" 1.13445602067341e-194 1.22612594224661 0.997 0.598 1.89023062164604e-190 "0" "Gng11"
"Timp4" 9.04164229042872e-192 1.370870532742 0.873 0.289 1.50651843843123e-187 "0" "Timp4"
"Tcf15" 6.72421047228842e-187 1.32467481533694 0.917 0.356 1.1203879488927e-182 "0" "Tcf15"
"Tspan7" 4.76649955195351e-184 1.22669731132945 0.91 0.359 7.94194155346494e-180 "0" "Tspan7"
"B2m" 1.84904881015431e-178 0.925768071317083 1 0.882 3.08088512747911e-174 "0" "B2m"
"Cdh5" 3.41166222920249e-176 1.16646693282509 0.89 0.309 5.68451160629719e-172 "0" "Cdh5"
"Rgcc" 4.52677572048521e-171 1.17100976671726 0.958 0.416 7.54251370547246e-167 "0" "Rgcc"
"Ly6c1" 5.39917419179036e-171 1.05188442085418 0.992 0.685 8.9961040383611e-167 "0" "Ly6c1"
"Lims2" 7.35696716598922e-171 1.19586686257616 0.904 0.432 1.22581786919712e-166 "0" "Lims2"
"H2-D1" 5.611974951258e-170 0.869077532093822 1 0.886 9.35067266378608e-166 "0" "H2-D1"
"Cd200" 8.15263012280192e-164 1.20888800534122 0.865 0.356 1.35839123106126e-159 "0" "Cd200"
"Cd300lg" 6.06438623736079e-161 1.17215625219884 0.818 0.282 1.01044803486905e-156 "0" "Cd300lg"
"Slc9a3r2" 1.08200903025284e-154 1.11247157222447 0.87 0.346 1.80284344620729e-150 "0" "Slc9a3r2"
"1810011O10Rik" 4.73899868038832e-144 1.11953603866457 0.76 0.248 7.89611960126301e-140 "0" "1810011O10Rik"
"Gimap6" 3.4017158701321e-143 1.09371561473456 0.792 0.299 5.66793898281411e-139 "0" "Gimap6"
"Car4" 6.59038149470654e-138 1.25189594629802 0.617 0.16 1.098089364648e-133 "0" "Car4"
"Ly6e" 2.40973041304237e-136 0.992488418890911 0.946 0.592 4.0150928142112e-132 "0" "Ly6e"
"Emcn" 8.11435328496607e-136 1.08688313144678 0.745 0.255 1.35201354434105e-131 "0" "Emcn"
